id,text,survey_item_code,survey_item_codes,raw_survey_item_code,source
IPIP_FULL_0001,Abuse people's confidences.,H1131,['H1131'],H1131,IPIP Alphabetical Item List
IPIP_FULL_0002,Accept apologies easily.,H133,['H133'],H133,IPIP Alphabetical Item List
IPIP_FULL_0003,Accept challenging tasks.,H515,['H515'],H515,IPIP Alphabetical Item List
IPIP_FULL_0004,Accept little from others.,H615,['H615'],H615,IPIP Alphabetical Item List
IPIP_FULL_0005,Accept others' weaknesses.,H139,['H139'],H139,IPIP Alphabetical Item List
IPIP_FULL_0006,Accept people as they are.,H106,['H106'],H106,IPIP Alphabetical Item List
IPIP_FULL_0007,Accept the consequences of my actions.,H266,['H266'],H266,IPIP Alphabetical Item List
IPIP_FULL_0008,Accept the first thing that comes along.,H1384,['H1384'],H1384,IPIP Alphabetical Item List
IPIP_FULL_0009,Accept what others say.,H962,['H962'],H962,IPIP Alphabetical Item List
IPIP_FULL_0010,Accomplish a lot of work.,H554,['H554'],H554,IPIP Alphabetical Item List
IPIP_FULL_0011,Accomplish my work on time.,H230,['H230'],H230,IPIP Alphabetical Item List
IPIP_FULL_0012,Acknowledge others' accomplishments.,H152,['H152'],H152,IPIP Alphabetical Item List
IPIP_FULL_0013,Acquire skills quickly.,H1338,['H1338'],H1338,IPIP Alphabetical Item List
IPIP_FULL_0014,Act according to my conscience.,H178,['H178'],H178,IPIP Alphabetical Item List
IPIP_FULL_0015,Act according to my own feelings.,H1367,['H1367'],H1367,IPIP Alphabetical Item List
IPIP_FULL_0016,Act as a leader.,Q176,['Q176'],Q176,IPIP Alphabetical Item List
IPIP_FULL_0017,Act as I please.,H795,['H795'],H795,IPIP Alphabetical Item List
IPIP_FULL_0018,Act as if I’m somebody else and completely identify myself with the part.,A18,['A18'],A18,IPIP Alphabetical Item List
IPIP_FULL_0019,Act as if I'm constantly on stage.,T17,['T17'],T17,IPIP Alphabetical Item List
IPIP_FULL_0020,Act as if some laws do not apply to me.,T19,['T19'],T19,IPIP Alphabetical Item List
IPIP_FULL_0021,Act at the expense of others.,H794,['H794'],H794,IPIP Alphabetical Item List
IPIP_FULL_0022,Act before thinking through the consequences.,V207,['V207'],V207,IPIP Alphabetical Item List
IPIP_FULL_0023,Act comfortably with others.,H41,['H41'],H41,IPIP Alphabetical Item List
IPIP_FULL_0024,Act contrary to reason.,H1370,['H1370'],H1370,IPIP Alphabetical Item List
IPIP_FULL_0025,Act impulsively when something is bothering me.,Q253,['Q253'],Q253,IPIP Alphabetical Item List
IPIP_FULL_0026,Act like different people in different situations.,P342,['P342'],P342,IPIP Alphabetical Item List
IPIP_FULL_0027,Act like people older than me.,Q27,['Q27'],Q27,IPIP Alphabetical Item List
IPIP_FULL_0028,Act like people younger than me.,Q182,['Q182'],Q182,IPIP Alphabetical Item List
IPIP_FULL_0029,Act or feel in a way that does not fit me.,A43,['A43'],A43,IPIP Alphabetical Item List
IPIP_FULL_0030,Act out my frustrations on others.,H758,['H758'],H758,IPIP Alphabetical Item List
IPIP_FULL_0031,Act properly in most situations.,Q53,['Q53'],Q53,IPIP Alphabetical Item List
IPIP_FULL_0032,Act quickly without thinking.,H866,['H866'],H866,IPIP Alphabetical Item List
IPIP_FULL_0033,Act spontaneously without thinking about the consequences.,A137,['A137'],A137,IPIP Alphabetical Item List
IPIP_FULL_0034,Act wild and crazy.,H871,['H871'],H871,IPIP Alphabetical Item List
IPIP_FULL_0035,Act with hesitation.,H1075,['H1075'],H1075,IPIP Alphabetical Item List
IPIP_FULL_0036,Act without consulting others.,H784,['H784'],H784,IPIP Alphabetical Item List
IPIP_FULL_0037,Act without planning.,H848,['H848'],H848,IPIP Alphabetical Item List
IPIP_FULL_0038,Act without thinking.,H846,['H846'],H846,IPIP Alphabetical Item List
IPIP_FULL_0039,Act without ulterior motives.,H156,['H156'],H156,IPIP Alphabetical Item List
IPIP_FULL_0040,Actually get cold when I think of something cold.,A25,['A25'],A25,IPIP Alphabetical Item List
